SimulationTime,Vessel_Pending,Vessel_Berthing,WharfAllocation_Idling,WharfAllocation_BeingOccupied,QcLine_Idling,QcLine_Discharging,QcLine_Loading,QC_Idling,QC_Repositioning,QC_RestoringToDischarge,QC_LiftAndTransportDisch,QC_PendingToDrop,QC_DroppingToMount,QC_RestoringToLoad,QC_LiftingToLoad,QC_TransportAndLoading,Container_BeingTransportedToYardFromGate,Container_PendingToBeDischarged,Container_BeingDischarged,Container_PendMountedAtQuay,Container_BeingMountedAtQuay,Container_BeingTransportedToYard,Container_PendDismountedAtYard,Container_BeingDismountedAtYard,Container_BeingStacked,Container_Dwelling,Container_DwellingForImport,Container_PendingToAssignAGV,Container_PendingToAssignYC,Container_PendingToBeUnstacked,Container_BeingUnstacked,Container_PendMountedAtYard,Container_PendMountForImport,Container_BeingMountedAtYard,Container_BeingTransportedToQuay,Container_PendDismountedAtQuay,Container_BeingDismountedAtQuay,Container_BeingLoaded,Container_BeingTransportedToGate,AGV_Idling,AGV_Repositioning,AGV_PickingFromQuay,AGV_PendDeliverToYard,AGV_DeliveringToYard,AGV_PendIdleAtYard,AGV_PickingFromYard,AGV_PendDeliverToQuay,AGV_DeliveringToQuay,AGV_PendIdleAtQuay,YC_Idling,YC_Repositioning,YC_RestoringToStack,YC_LiftingToStack,YC_TransportAndStacking,YC_RestoreReshuffleUnst,YC_LiftTransportUnstack,YC_PendingToDrop,YC_DroppingToMount,YardAllocation_Idling,YardAllocation_BeingOccupied
0001-01-02 00:00:00,0.000000,10.238074,0.999999,10.238074,50.043447,14.455733,11.500816,53.877303,0.000000,0.000123,0.000123,0.008213,0.000123,0.000067,0.000067,0.000067,0.000060,8669.114355,5.671259,0.005620,5.812725,3.815635,15.473758,6.372105,6.472176,3521.041185,0.000000,1546.130193,5.244054,8.986575,2.937095,19.002775,0.000000,3.082477,29.113695,15.424439,2.860325,3.125830,0.000000,590.444351,0.000000,0.000123,5.812971,0.000123,13.274349,0.000068,9.820480,0.000068,18.284966,256.866289,0.000000,0.000183,0.000182,0.000182,0.000069,0.000069,19.002921,0.000068,0.999256,13791.264637
0001-01-03 00:00:00,0.000000,13.737711,0.999999,13.737711,33.357641,18.856427,23.785928,40.988310,0.000000,0.000165,0.000165,0.032891,0.000165,0.000138,0.000138,0.000138,0.000070,16850.530142,7.277418,0.032207,7.490708,6.518751,28.451685,8.227839,8.163402,9932.803845,0.000001,3329.440549,18.333605,18.421614,5.971414,35.826207,0.000001,6.145011,60.177183,32.681615,6.294041,6.490024,0.000000,477.241311,0.000000,0.000165,7.491038,0.000165,25.430188,0.000139,23.960203,0.000139,38.976072,219.523551,0.000000,0.000235,0.000235,0.000235,0.000141,0.000141,35.826508,0.000140,0.999509,30217.736998
0001-01-04 00:00:00,0.000000,15.393914,0.999999,15.393914,30.263845,21.996840,23.739312,38.232055,0.000000,0.000189,0.000188,0.039651,0.000188,0.000135,0.000135,0.000135,0.000016,15513.767983,8.616362,0.039134,8.679906,4.640364,27.240060,6.827942,7.046658,18325.067698,0.000016,2987.336261,21.806102,21.104272,6.654825,35.171722,0.000016,6.318301,59.697775,31.031601,6.206823,6.239992,0.000000,473.369828,0.000000,0.000188,8.680283,0.000188,31.280713,0.000135,25.551085,0.000135,37.238830,219.970540,0.000000,0.000205,0.000205,0.000205,0.000150,0.000151,35.172058,0.000151,0.999649,36203.448556
0001-01-05 00:00:00,0.000000,16.987780,0.999999,16.987780,30.012196,18.434636,27.553166,39.136203,0.000000,0.000158,0.000158,0.017601,0.000158,0.000159,0.000159,0.000159,0.000011,12488.979422,7.267311,0.017148,7.355399,2.056986,23.116200,5.932687,6.008115,19589.374192,0.000017,5856.076756,26.049407,24.014352,7.545908,40.910052,0.000017,7.433412,69.353279,36.487812,7.322436,7.257694,0.000000,450.763476,0.000000,0.000158,7.355715,0.000158,27.006668,0.000160,29.995164,0.000159,43.810724,212.046878,0.000000,0.000169,0.000169,0.000169,0.000176,0.000176,40.910444,0.000176,0.999689,36037.384792
0001-01-06 00:00:00,0.000000,20.362633,0.999999,20.362634,18.575793,20.037909,37.386295,30.972531,0.000000,0.000171,0.000171,0.032631,0.000171,0.000213,0.000213,0.000213,0.000012,11375.396992,7.813935,0.032097,7.986773,2.780375,29.203721,6.505186,6.487593,16276.734290,0.000017,7341.545989,44.284444,31.338361,9.559868,50.662698,0.000017,9.921441,93.908128,48.404463,9.818436,9.907256,0.000000,364.557253,0.000000,0.000171,7.987115,0.000171,33.465555,0.000214,45.250757,0.000213,58.223539,189.083394,0.000000,0.000183,0.000183,0.000183,0.000230,0.000230,50.663205,0.000230,0.999707,31468.653189
0001-01-07 00:00:00,0.000000,15.970387,1.000000,15.970387,29.484803,21.779843,24.735351,37.902848,0.000000,0.000187,0.000187,0.010485,0.000187,0.000141,0.000141,0.000141,0.000014,11082.863642,8.634546,0.009792,8.503543,2.361630,26.207376,6.823493,7.106181,20982.851767,0.000022,2938.282037,23.698508,21.464692,6.944213,36.305101,0.000022,6.810526,62.167264,31.471955,6.393816,6.574811,0.000000,470.670061,0.000000,0.000187,8.503917,0.000187,30.815098,0.000140,25.901586,0.000141,37.866194,217.586510,0.000000,0.000201,0.000201,0.000201,0.000162,0.000162,36.305467,0.000162,0.999667,29736.901210
0001-01-08 00:00:00,0.000000,13.478775,0.999999,13.478776,39.890227,15.120505,20.989266,46.562603,0.000000,0.000134,0.000133,0.008576,0.000133,0.000124,0.000124,0.000124,0.000015,7932.870009,5.771575,0.008111,5.992671,1.266045,16.416661,5.255418,5.237639,25438.448281,0.000014,2504.318802,15.225452,18.817531,5.839996,32.780341,0.000014,5.993301,53.854816,28.551134,5.769672,5.602804,0.000000,511.257626,0.000000,0.000133,5.992938,0.000133,19.390337,0.000125,19.962691,0.000124,34.321180,230.575765,0.000000,0.000149,0.000148,0.000148,0.000139,0.000139,32.780650,0.000139,0.999687,29223.308021
0001-01-09 00:00:00,0.000000,15.658135,0.999999,15.658135,31.034234,18.443094,26.522670,39.859210,0.000000,0.000157,0.000157,0.013975,0.000157,0.000154,0.000154,0.000154,0.000014,11666.907131,7.322760,0.012211,7.309987,1.700575,22.197069,5.835757,6.029452,23051.833094,0.000011,6349.923366,23.657449,22.738023,7.237394,39.722506,0.000011,7.080657,67.533599,35.149330,7.065530,6.969015,0.000000,459.150653,0.000000,0.000157,7.310300,0.000157,25.654407,0.000155,28.515405,0.000155,42.215324,215.250628,0.000000,0.000170,0.000170,0.000170,0.000167,0.000167,39.722872,0.000167,0.999398,33155.962004
0001-01-10 00:00:00,0.000000,18.064938,0.999999,18.064938,20.718126,23.582377,31.699494,31.078612,0.000000,0.000205,0.000205,0.031372,0.000205,0.000180,0.000180,0.000180,0.000018,17461.120459,9.456915,0.030780,9.157974,2.605386,33.161674,7.770998,7.922847,27520.002347,0.000012,5654.159739,33.473939,25.854245,8.155777,44.711476,0.000012,8.066402,79.215888,42.067099,8.475038,8.385197,0.000000,405.118630,0.000000,0.000205,9.158384,0.000205,37.867420,0.000179,36.371098,0.000180,50.542676,200.104782,0.000000,0.000223,0.000223,0.000223,0.000192,0.000192,44.711896,0.000192,0.999673,41762.180509
0001-01-11 00:00:00,0.000000,19.292773,0.999999,19.292773,23.260015,30.918317,21.821666,30.328092,0.000000,0.000270,0.000271,0.012911,0.000271,0.000126,0.000126,0.000126,0.000018,12570.877121,12.010682,0.012242,12.377809,3.350428,34.442114,10.052443,10.043813,35860.488418,0.000015,5993.484062,19.548184,18.242525,5.917435,32.604673,0.000015,6.137369,54.221072,28.945882,5.901818,5.850701,0.000000,476.608483,0.000000,0.000271,12.378350,0.000271,41.574020,0.000125,23.183789,0.000126,34.848078,217.924395,0.000000,0.000289,0.000288,0.000288,0.000140,0.000140,32.604987,0.000140,0.999589,44494.880283
